month,value,term,lane,theme,geo,source,notes
2014-03,66.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-04,61.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-05,50.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-06,68.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-07,79.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-08,62.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-09,51.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-10,40.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-11,48.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2014-12,43.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-01,83.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-02,54.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-03,53.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-04,47.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-05,55.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-06,70.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-07,76.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-08,57.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-09,51.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-10,40.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-11,52.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
2015-12,63.0,Los Angeles museums,discovery_marketing,tourism_discovery,US-CA,Google Trends via pytrends,Proposal baseline keyword
